"Date","Price","Open","High","Low","Vol.","Change %"
"02/01/2018","6,551.78","6,475.86","6,604.92","6,475.86","721.89M","1.16%"
"01/01/2018","6,476.41","6,368.05","6,545.16","6,367.95","427.19M","1.68%"
"12/01/2017","6,369.26","6,412.67","6,418.70","6,316.19","333.92M","-0.66%"
"11/01/2017","6,411.84","6,619.32","6,628.69","6,400.12","584.32M","-3.11%"
"10/01/2017","6,617.36","6,443.44","6,647.87","6,438.24","752.36M","2.78%"
"09/01/2017","6,438.24","6,391.74","6,457.25","6,349.36","850.23M","0.74%"
"08/01/2017","6,390.74","6,638.79","6,647.69","6,378.76","774.79M","-3.72%"
"07/01/2017","6,637.39","6,747.21","6,769.51","6,637.39","769.85M","-1.63%"
"06/01/2017","6,747.07","6,673.97","6,754.44","6,641.29","835.26M","1.09%"
"05/01/2017","6,674.32","6,613.00","6,746.53","6,561.06","800.58M","0.97%"
"04/01/2017","6,610.46","6,060.90","6,612.15","6,060.90","997.87M","9.05%"
"03/01/2017","6,061.94","6,133.00","6,136.84","5,968.24","668.70M","-1.18%"
"02/01/2017","6,134.28","6,132.41","6,194.82","6,064.87","430.84M","0.03%"
"01/01/2017","6,132.68","6,227.24","6,234.86","6,118.34","669.55M","-1.53%"
"12/01/2016","6,228.26","6,249.73","6,373.59","6,196.76","413.16M","-0.21%"
"11/01/2016","6,241.10","6,409.19","6,458.02","6,231.87","296.69M","-2.62%"
"10/01/2016","6,409.23","6,535.12","6,608.15","6,403.44","478.90M","-1.92%"
"09/01/2016","6,534.77","6,532.90","6,553.57","6,425.78","733.04M","0.10%"
"08/01/2016","6,528.21","6,394.07","6,622.11","6,393.87","714.41M","2.10%"
"07/01/2016","6,393.87","6,280.09","6,435.22","6,250.12","838.24M","1.76%"
"06/01/2016","6,283.27","6,553.29","6,563.27","6,280.77","483.73M","-4.08%"
"05/01/2016","6,550.51","6,520.22","6,718.86","6,516.26","534.18M","0.53%"
"04/01/2016","6,516.26","6,065.04","6,527.25","6,059.46","598.56M","7.19%"
"03/01/2016","6,079.15","6,190.07","6,197.73","5,802.02","839.32M","-1.82%"
"02/01/2016","6,191.81","6,343.14","6,438.62","6,191.81","687.06M","-2.34%"
"01/01/2016","6,340.05","6,894.81","6,912.11","6,235.13","591.70M","-8.04%"
"12/01/2015","6,894.50","6,909.32","6,920.00","6,802.38","882.73M","-0.21%"
"11/01/2015","6,909.15","7,044.26","7,076.43","6,909.15","492.05M","-1.89%"
"10/01/2015","7,042.06","7,053.33","7,127.97","7,014.51","651.21M","-0.12%"
"09/01/2015","7,050.87","7,306.87","7,326.26","7,050.87","502.45M","-3.50%"
"08/01/2015","7,306.94","7,334.11","7,531.28","7,228.38","1.36B","-0.34%"
"07/01/2015","7,332.05","7,018.27","7,340.24","6,921.64","813.35M","4.43%"
"06/01/2015","7,020.80","7,228.67","7,231.04","7,012.12","697.92M","-2.76%"
"05/01/2015","7,220.29","7,182.39","7,314.66","7,179.00","804.43M","0.58%"
"04/01/2015","7,179.00","6,815.67","7,193.88","6,815.17","631.63M","5.26%"
"03/01/2015","6,820.34","7,301.27","7,310.41","6,760.04","652.31M","-6.59%"
"02/01/2015","7,301.29","7,180.49","7,367.33","7,000.06","931.69M","1.69%"
"01/01/2015","7,180.05","7,300.29","7,670.98","7,163.61","994.35M","-1.63%"
"12/01/2014","7,298.95","7,157.59","7,310.71","7,153.90","911.82M","2.03%"
"11/01/2014","7,153.90","7,328.32","7,562.52","7,064.33","1.98B","-2.36%"
